"row_number","title","handle","reason"
"12","Other","advertising-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"16","Other","agriculture-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"23","Other","assistant-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"28","Other","audio-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"36","Other","augmented-reality-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"40","Other","business-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"47","Other","code-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"53","Other","creative-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"57","Other","customer-service-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"64","Other","data-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"71","Other","education-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"73","Other","energy-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"79","Other","environmental-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"83","Other","finance-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"87","Other","gaming-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"92","Other","healthcare-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"95","Other","human-resources-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"103","Other","language-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"108","Other","legal-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"110","Other","manufacturing-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"116","Other","mental-health-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"120","Other","news-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"122","Other","real-estate-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"127","Other","retail-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"132","Other","robotics-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"135","Other","search-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"140","Other","security-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"144","Other","social-media-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"148","Other","sports-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"152","Other","supply-chain-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"157","Other","telecommunications-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"161","Other","text-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"166","Other","transportation-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"169","Other","travel-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"172","Other","video-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"178","Other","virtual-reality-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"185","Other","visual-ai-other","Duplicate title in CSV. First occurrence kept at row 2."
"278","Managed WordPress Hosting","wordpress-hosting-managed-wordpress-hosting","Duplicate title in CSV. First occurrence kept at row 242."
"279","WooCommerce Hosting","wordpress-hosting-woocommerce-hosting","Duplicate title in CSV. First occurrence kept at row 229."
"283","360 Degree Feedback Software","360-degree-feedback-software","Collection title already exists in Shopify (id 484678697199, handle 360-degree-feedback-software)."
"284","3D Architecture Software","3d-architecture-software","Collection title already exists in Shopify (id 484683645167, handle 3d-architecture-software)."
"299","Advanced Planning & Scheduling (APS) Software","advanced-planning--scheduling-aps-software","Requested handle ""advanced-planning--scheduling-aps-software"" was not applied. Shopify returned ""advanced-planning-scheduling-aps-software"" and the collection was deleted."
"1259","XDR Platforms (Extended Detection & Response)","xdr-platforms-extended-detection--response","Requested handle ""xdr-platforms-extended-detection--response"" was not applied. Shopify returned ""xdr-platforms-extended-detection-response"" and the collection was deleted."
