"product_id","graphql_id","title","handle","vendor","status","online_store_url","metafield_type","metafield_url","normalized_metafield_url","url_status","http_status","final_url","final_domain","redirect_count","official_website_assessment","landing_type","page_title","heading","failure_reason","notes"
"9048227676399","gid://shopify/Product/9048227676399","MagicPods AI Bundle","magicpods-ai-bundle","magicpodsai","ACTIVE","","url","https://magicpodsai.com/bundle","https://magicpodsai.com/bundle","working","200","https://magicpodsai.com/bundle/","magicpodsai.com","2","likely_official_website","product_page","Magicpods AI | Create Pro Level Podcast Videos in The Blink Of AI","Get Every Upgrade, Every Feature & Every Bonus for 60% Off","","redirected_2_times | title_token_matches:2 | vendor_token_matches:1"
"9048894505199","gid://shopify/Product/9048894505199","WHP - WordPress Hosting","whp-wordpress-hosting","WebHostingPad","ACTIVE","","url","https://www.webhostingpad.com/wordpress/?idev_id=15298","https://www.webhostingpad.com/wordpress/?idev_id=15298","working","200","https://www.webhostingpad.com/wordpress/?idev_id=15298","webhostingpad.com","0","likely_official_website","product_page","WordPress Hosting | WebHostingPad","WordPress Hosting","","title_token_matches:2 | vendor_token_matches:1"
"9065881764079","gid://shopify/Product/9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","dalle-3-openai","OpenAI","ACTIVE","","url","https://openai.com/index/dall-e-3","https://openai.com/index/dall-e-3","unreachable","403","https://openai.com/index/dall-e-3","openai.com","0","likely_official_website","unreachable","","","http_403","title_token_matches:2 | vendor_token_matches:1 | http_403"
"9065881796847","gid://shopify/Product/9065881796847","Midjourney: AI for creating artistic and photorealistic images","midjourney","Midjourney","ACTIVE","","url","https://www.midjourney.com/pricing","https://www.midjourney.com/pricing","unreachable","403","https://www.midjourney.com/pricing","midjourney.com","0","likely_official_website","unreachable","Just a moment...","","http_403","title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065881862383","gid://shopify/Product/9065881862383","Canva AI: Design platform with AI-powered image creation and editing","canva-ai","Canva","ACTIVE","","url","https://www.canva.com/en_in/pricing","https://www.canva.com/en_in/pricing","unreachable","403","https://www.canva.com/en_in/pricing","canva.com","0","likely_official_website","unreachable","Canva","","http_403","title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065881895151","gid://shopify/Product/9065881895151","Stable Diffusion: Open-source AI for generating custom images","stable-diffusion","Stability AI","ACTIVE","","url","https://stability.ai/","https://stability.ai/","working","200","https://stability.ai/","stability.ai","0","likely_official_website","home_page","Stability AI","","","vendor_token_matches:1"
"9065881927919","gid://shopify/Product/9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","adobe-firefly","Adobe","ACTIVE","","url","https://www.adobe.com/products/firefly.html","https://www.adobe.com/products/firefly.html","unreachable","","","","0","unclear","unreachable","","","ECONNABORTED","ECONNABORTED"
"9065881960687","gid://shopify/Product/9065881960687","Runway ML: AI for image and video editing with generative capabilities","runway-ml","Runway","ACTIVE","","url","https://runwayml.com/pricing","https://runwayml.com/pricing","working","200","https://runwayml.com/pricing","runwayml.com","0","likely_official_website","product_page","AI Image and Video Pricing from $12/month | Runway AI","Choose the best plan for you","","title_token_matches:5 | vendor_token_matches:1"
"9065881993455","gid://shopify/Product/9065881993455","Artbreeder (AI for collaborative art generation)","artbreeder","Artbreeder","ACTIVE","","url","https://www.artbreeder.com/","https://www.artbreeder.com/","working","200","https://www.artbreeder.com/","artbreeder.com","0","likely_official_website","product_page","Artbreeder","","","title_token_matches:2 | vendor_token_matches:1"
"9065882026223","gid://shopify/Product/9065882026223","Fotor AI: Photo editing with AI enhancements like background removal","fotor-ai","Fotor","ACTIVE","","url","https://www.fotor.com/pricing","https://www.fotor.com/pricing","working","200","https://www.fotor.com/pricing/","fotor.com","1","likely_official_website","product_page","Pricing | Fotor - Photo Editing & Collage Maker & Graphic Design","Pick Your Plan","","redirected_1_time | title_token_matches:3 | vendor_token_matches:1"
"9065882058991","gid://shopify/Product/9065882058991","NightCafe: AI art generator with multiple style options","nightcafe","NightCafe","ACTIVE","","url","https://nightcafe.studio/pricing","https://nightcafe.studio/pricing","unreachable","403","https://nightcafe.studio/pricing","nightcafe.studio","0","likely_official_website","unreachable","Just a moment...","","http_403","title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065882091759","gid://shopify/Product/9065882091759","VanceAI: AI for image upscaling","vanceai","VanceAI","ACTIVE","","url","https://vanceai.com/pricing","https://vanceai.com/pricing","working","200","https://vanceai.com/pricing/","vanceai.com","1","likely_official_website","product_page","Pricing Plan - VanceAI","","","redirected_1_time | title_token_matches:1 | vendor_token_matches:1"
"9065882124527","gid://shopify/Product/9065882124527","Photopea AI: Browser-based AI-enhanced photo editing","photopea-ai","Photopea","ACTIVE","","url","https://www.photopea.com/","https://www.photopea.com/","working","200","https://www.photopea.com/","photopea.com","0","likely_official_website","product_page","Photopea | Online Photo Editor","Free Online Photo Editor","","title_token_matches:2 | vendor_token_matches:1"
