"top_category","top_slug","subcategory","subcategory_slug","final_category","final_category_slug","collection_title","collection_handle","collection_url","browse_page_handle","browse_page_url","is_flat_category"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Other","other","Accessibility AI - Other","accessibility-ai-other","/collections/accessibility-ai-other","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Real-Time Captioning AI","real-time-captioning-ai","Real-Time Captioning AI","real-time-captioning-ai","/collections/real-time-captioning-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Sign Language Recognition AI","sign-language-recognition-ai","Sign Language Recognition AI","sign-language-recognition-ai","/collections/sign-language-recognition-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Speech-to-Text AI","speech-to-text-ai","Speech-to-Text AI","speech-to-text-ai","/collections/speech-to-text-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Text-to-Speech AI","text-to-speech-ai","Text-to-Speech AI","text-to-speech-ai","/collections/text-to-speech-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Accessibility AI","accessibility-ai","Visual Assistance AI","visual-assistance-ai","Visual Assistance AI","visual-assistance-ai","/collections/visual-assistance-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Ad Copy Generation AI","ad-copy-generation-ai","Ad Copy Generation AI","ad-copy-generation-ai","/collections/ad-copy-generation-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Ad Creative Optimization AI","ad-creative-optimization-ai","Ad Creative Optimization AI","ad-creative-optimization-ai","/collections/ad-creative-optimization-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Ad Performance Analytics AI","ad-performance-analytics-ai","Ad Performance Analytics AI","ad-performance-analytics-ai","/collections/ad-performance-analytics-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Audience Targeting AI","audience-targeting-ai","Audience Targeting AI","audience-targeting-ai","/collections/audience-targeting-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Other","other","Advertising AI - Other","advertising-ai-other","/collections/advertising-ai-other","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Advertising AI","advertising-ai","Programmatic Advertising AI","programmatic-advertising-ai","Programmatic Advertising AI","programmatic-advertising-ai","/collections/programmatic-advertising-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Agriculture AI","agriculture-ai","Agri-Robotics AI","agri-robotics-ai","Agri-Robotics AI","agri-robotics-ai","/collections/agri-robotics-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Agriculture AI","agriculture-ai","Crop Monitoring AI","crop-monitoring-ai","Crop Monitoring AI","crop-monitoring-ai","/collections/crop-monitoring-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Agriculture AI","agriculture-ai","Other","other","Agriculture AI - Other","agriculture-ai-other","/collections/agriculture-ai-other","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Agriculture AI","agriculture-ai","Precision Farming AI","precision-farming-ai","Precision Farming AI","precision-farming-ai","/collections/precision-farming-ai","ai-tools","/pages/ai-tools","False"
"AI Tools","ai-tools","Agriculture AI","agriculture-ai","Soil Analysis AI","soil-analysis-ai","Soil Analysis AI","soil-analysis-ai","/collections/soil-analysis-ai","ai-tools","/pages/ai-tools","False"
