"product_id","title","assigned_values","assigned_kinds","source_used","changed","classification_reason","url_used","web_search_query"
"9048227676399","MagicPods AI Bundle","All-in-One Marketing Platform","All-in-One Marketing Platform:name","description","true","All-in-One Marketing Platform via name","","MagicPods AI Bundle magicpodsai"
"9048894505199","WHP - WordPress Hosting","High Traffic WordPress Hosting | SSL Certificates | Managed WordPress Hosting | Enterprise WordPress Hosting | WooCommerce Hosting | WordPress Multisite Hosting | WordPress Staging Hosting | WordPress VPS","High Traffic WordPress Hosting:name | SSL Certificates:name | Managed WordPress Hosting:name | Enterprise WordPress Hosting:name | WooCommerce Hosting:name | WordPress Multisite Hosting:name | WordPress Staging Hosting:name | WordPress VPS:name","description","true","High Traffic WordPress Hosting via name; SSL Certificates via name; Managed WordPress Hosting via name; Enterprise WordPress Hosting via name; WooCommerce Hosting via name; WordPress Multisite Hosting via name; WordPress Staging Hosting via name; WordPress VPS via name","",""
"9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://openai.com/dall-e-3","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts OpenAI Visual AI"
"9065881796847","Midjourney: AI for creating artistic and photorealistic images","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://www.midjourney.com/pricing","Midjourney: AI for creating artistic and photorealistic images Midjourney Visual AI"
"9065881862383","Canva AI: Design platform with AI-powered image creation and editing","Graphic Design AI | Graphic Design Software | Presentation Design AI | App Design Software | Building Design and Building Information Modeling (BIM) Software | Electrical Design Software | Fashion Design Software","Graphic Design AI:name | Graphic Design Software:name | Presentation Design AI:name | App Design Software:name | Building Design and Building Information Modeling (BIM) Software:name | Electrical Design Software:name | Fashion Design Software:name","description","true","Graphic Design AI via name; Graphic Design Software via name; Presentation Design AI via name; App Design Software via name; Building Design and Building Information Modeling (BIM) Software via name; Electrical Design Software via name; Fashion Design Software via name","",""
"9065881895151","Stable Diffusion: Open-source AI for generating custom images","Source Code Management Software","Source Code Management Software:name","product URL","true","Source Code Management Software via name","https://stability.ai","Stable Diffusion: Open-source AI for generating custom images Stability AI Visual AI"
"9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","Ad Copy Generation AI | Music Generation AI | Code Generation AI | 3D Model Generation AI | AI Art Generation | Procedural Content Generation AI | Long-Form Content AI | Subtitle Generation AI | Video Generation AI | Document Generation Software | Lead Generation Software","Ad Copy Generation AI:name | Music Generation AI:name | Code Generation AI:name | 3D Model Generation AI:name | AI Art Generation:name | Procedural Content Generation AI:name | Long-Form Content AI:name | Subtitle Generation AI:name | Video Generation AI:name | Document Generation Software:name | Lead Generation Software:name","description","true","Ad Copy Generation AI via name; Music Generation AI via name; Code Generation AI via name; 3D Model Generation AI via name; AI Art Generation via name; Procedural Content Generation AI via name; Long-Form Content AI via name; Subtitle Generation AI via name; Video Generation AI via name; Document Generation Software via name; Lead Generation Software via name","https://www.adobe.com/sensei/generative-ai/firefly.html","Adobe Firefly: AI for image generation and editing within Adobe Suite Adobe Visual AI"
"9065881960687","Runway ML: AI for image and video editing with generative capabilities","Podcast Editing AI | Video Editing AI | Audio Editing Software | Photo Editing Software | Video Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name | Photo Editing Software:name | Video Editing Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name; Photo Editing Software via name; Video Editing Software via name","https://runwayml.com/pricing","Runway ML: AI for image and video editing with generative capabilities Runway Visual AI"
"9065881993455","Artbreeder (AI for collaborative art generation)","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882026223","Fotor AI: Photo editing with AI enhancements like background removal","Podcast Editing AI | Video Editing AI | Audio Editing Software | Photo Editing Software | Video Editing Software | Malware Removal | Background Check Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name | Photo Editing Software:name | Video Editing Software:name | Malware Removal:name | Background Check Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name; Photo Editing Software via name; Video Editing Software via name; Malware Removal via name; Background Check Software via name","https://www.fotor.com/pricing","Fotor AI: Photo editing with AI enhancements like background removal Fotor Visual AI"
"9065882058991","NightCafe: AI art generator with multiple style options","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882091759","VanceAI: AI for image upscaling","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://vanceai.com/pricing","VanceAI: AI for image upscaling VanceAI Visual AI"
"9065882124527","Photopea AI: Browser-based AI-enhanced photo editing","Podcast Editing AI | Video Editing AI | Audio Editing Software | Browser Software | Photo Editing Software | Video Editing Software | Location-Based Dedicated Servers | Account Based Marketing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name | Browser Software:name | Photo Editing Software:name | Video Editing Software:name | Location-Based Dedicated Servers:name | Account Based Marketing Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name; Browser Software via name; Photo Editing Software via name; Video Editing Software via name; Location-Based Dedicated Servers via name; Account Based Marketing Software via name","https://www.photopea.com","Photopea AI: Browser-based AI-enhanced photo editing Photopea Visual AI"
"9065882157295","DeepArt: AI for turning photos into artistic styles","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://www.deeparteffects.com","DeepArt: AI for turning photos into artistic styles DeepArt Visual AI"
"9065882190063","Remove.bg: AI for automatic background removal","Background Check Software | Malware Removal","Background Check Software:name | Malware Removal:name","product URL","true","Background Check Software via name; Malware Removal via name","https://www.remove.bg/pricing","Remove.bg: AI for automatic background removal Remove.bg Visual AI"
"9065882222831","ClipDrop: AI for image manipulation and object extraction","Object Detection AI | AR Object Recognition AI | Data Extraction Software","Object Detection AI:name | AR Object Recognition AI:name | Data Extraction Software:name","product URL","true","Object Detection AI via name; AR Object Recognition AI via name; Data Extraction Software via name","https://clipdrop.co/pricing","ClipDrop: AI for image manipulation and object extraction ClipDrop Visual AI"
"9065882255599","Luminar AI: Photo editing with AI-driven enhancements","Podcast Editing AI | Video Editing AI | Audio Editing Software | Photo Editing Software | Video Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name | Photo Editing Software:name | Video Editing Software:name","description","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name; Photo Editing Software via name; Video Editing Software via name","https://skylum.com/luminar-ai-pricing","Luminar AI: Photo editing with AI-driven enhancements Skylum Visual AI"
"9065882288367","DreamStudio: AI image generator powered by Stable Diffusion","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://dreamstudio.ai/pricing","DreamStudio: AI image generator powered by Stable Diffusion Stability AI Visual AI"
"9065882321135","Topaz Gigapixel AI: AI for image upscaling and detail enhancement","Image Enhancement AI","Image Enhancement AI:name","product URL","true","Image Enhancement AI via name","https://www.topazlabs.com/pricing","Topaz Gigapixel AI: AI for image upscaling and detail enhancement Topaz Labs Visual AI"
"9065882353903","Let's Enhance: AI for improving image resolution and quality","Quality Inspection AI | Data Quality Software | Quality Management System","Quality Inspection AI:name | Data Quality Software:name | Quality Management System:name","product URL","true","Quality Inspection AI via name; Data Quality Software via name; Quality Management System via name","https://letsenhance.io/pricing","Let's Enhance: AI for improving image resolution and quality Let's Enhance Visual AI"
