title,handle,vendor,price,status,published,existing_product_id,collection_handle,source_url,logo_source_url,custom_type_multiple,product_features,plans_pricing,pros_cons,seo_title,seo_description,confidence,verification_notes,missing_fields,filters_json
GreenGeeks Lite Shared Hosting,greengeeks-linux-shared-hosting-lite,GreenGeeks,2.95,active,true,9096033698031,linux-shared-hosting,https://www.greengeeks.com/cpanel-hosting,https://www.greengeeks.com,Linux Shared Hosting,"- 1 website
- 25 GB web space
- Unmetered transfer
- Free SSL certificate
- Free domain for the first year on eligible terms
- Free nightly backups
- Free email accounts
- Free CDN
- cPanel, SSH, and WP-CLI support","- Lite: $2.95/month advertised introductory price
- Higher renewal pricing may apply on GreenGeeks renewal terms","- Pros: Entry plan still includes SSL, email, CDN, backups, and cPanel access
- Pros: Official page includes SSH and WP-CLI tooling alongside standard hosting features
- Cons: Limited to 1 website
- Cons: Storage allowance is lower than GreenGeeks higher plans",GreenGeeks Lite Shared Hosting | GreenGeeks Linux Shared Hosting,"GreenGeeks Lite Shared Hosting from GreenGeeks with 1 website, 25 GB web space, Unmetered transfer. Lowest advertised price 2.95.",high,- Price and plan limits verified from official GreenGeeks cPanel hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Individuals"",""Small business""]}"
GreenGeeks Pro Shared Hosting,greengeeks-linux-shared-hosting-pro,GreenGeeks,4.95,active,true,9096033829103,linux-shared-hosting,https://www.greengeeks.com/cpanel-hosting,https://www.greengeeks.com,Linux Shared Hosting,"- Unlimited websites
- 50 GB web space
- Unmetered transfer
- Free SSL certificate
- Free nightly backups
- On-demand backups
- Free email accounts
- Free CDN
- Priority support","- Pro: $4.95/month advertised introductory price
- Priority support and on-demand backups are listed on the official page","- Pros: Supports multiple websites without moving to a higher infrastructure class
- Pros: Adds on-demand backups and priority support over the Lite plan
- Cons: Still a shared-hosting environment rather than isolated VPS resources
- Cons: Storage remains capped at 50 GB",GreenGeeks Pro Shared Hosting | GreenGeeks Linux Shared Hosting,"GreenGeeks Pro Shared Hosting from GreenGeeks with Unlimited websites, 50 GB web space, Unmetered transfer. Lowest advertised price 4.95.",high,- Plan inclusions verified from official GreenGeeks cPanel hosting comparison table,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Priority support""],""target_segment"":[""Small business""]}"
GreenGeeks Premium Shared Hosting,greengeeks-linux-shared-hosting-premium,GreenGeeks,8.95,active,true,9096033763567,linux-shared-hosting,https://www.greengeeks.com/cpanel-hosting,https://www.greengeeks.com,Linux Shared Hosting,"- Unlimited websites
- 100 GB web space
- Unmetered transfer
- Dedicated IP
- Premium AlphaSSL
- Redis object caching
- Free nightly backups
- Free CDN
- Priority support","- Premium: $8.95/month advertised introductory price
- Dedicated IP, AlphaSSL, and Redis object caching are listed on the official page","- Pros: Highest GreenGeeks shared plan adds dedicated IP and premium SSL
- Pros: Includes the largest advertised storage allocation in this lineup
- Cons: Higher starting price than the Lite and Pro plans
- Cons: Still shares server resources with other accounts",GreenGeeks Premium Shared Hosting | GreenGeeks Linux Shared Hosting,"GreenGeeks Premium Shared Hosting from GreenGeeks with Unlimited websites, 100 GB web space, Unmetered transfer. Lowest advertised price 8.95.",high,- Premium plan extras verified from official GreenGeeks cPanel hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Priority support""],""target_segment"":[""Small business""]}"
Hostwinds Basic Shared Hosting,hostwinds-linux-shared-hosting-basic,Hostwinds,4.54,active,true,9096034910447,linux-shared-hosting,https://www.hostwinds.com/hosting/shared,https://www.hostwinds.com,Linux Shared Hosting,"- 1 domain
- Unlimited bandwidth
- Unlimited disk space
- Latest cPanel
- Free SSL certificate
- Instant setup
- Nightly backups
- Unlimited subdomains, databases, and email accounts
- Free dedicated IP","- Basic: $4.54/month advertised price
- Hostwinds positions the plan for 1 domain","- Pros: Official page includes nightly backups, SSL, and a dedicated IP
- Pros: Core storage and bandwidth are listed as unlimited
- Cons: Restricted to 1 hosted domain
- Cons: Shared plan resources are not dedicated",Hostwinds Basic Shared Hosting | Hostwinds Linux Shared Hosting,"Hostwinds Basic Shared Hosting from Hostwinds with 1 domain, Unlimited bandwidth, Unlimited disk space. Lowest advertised price 4.54.",high,- Basic shared-hosting details verified from official Hostwinds shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Individuals"",""Small business""]}"
Hostwinds Advanced Shared Hosting,hostwinds-linux-shared-hosting-advanced,Hostwinds,5.84,active,true,9096034844911,linux-shared-hosting,https://www.hostwinds.com/hosting/shared,https://www.hostwinds.com,Linux Shared Hosting,"- 4 domains
- Unlimited bandwidth
- Unlimited disk space
- Latest cPanel
- Free SSL certificate
- Nightly backups
- Unlimited subdomains, databases, and email accounts
- Instant setup
- Free dedicated IP","- Advanced: $5.84/month advertised price
- Hostwinds positions the plan for up to 4 domains","- Pros: Supports multiple domains while keeping the same shared-hosting toolset
- Pros: Includes nightly backups and free SSL on the official page
- Cons: Domain allowance is still capped
- Cons: Shared hosting is less isolated than VPS or dedicated options",Hostwinds Advanced Shared Hosting | Hostwinds Linux Shared Hosting,"Hostwinds Advanced Shared Hosting from Hostwinds with 4 domains, Unlimited bandwidth, Unlimited disk space. Lowest advertised price 5.84.",high,- Advanced domain count and advertised pricing verified from official Hostwinds shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Small business""]}"
Hostwinds Ultimate Shared Hosting,hostwinds-linux-shared-hosting-ultimate,Hostwinds,7.14,active,true,9096034975983,linux-shared-hosting,https://www.hostwinds.com/hosting/shared,https://www.hostwinds.com,Linux Shared Hosting,"- Unlimited domains
- Unlimited bandwidth
- Unlimited disk space
- Latest cPanel
- Free SSL certificate
- Nightly backups
- Unlimited subdomains, databases, and email accounts
- Instant setup
- Free dedicated IP","- Ultimate: $7.14/month advertised price
- Hostwinds positions the plan for unlimited domains","- Pros: Unlimited domain hosting on the provider's shared-hosting tier
- Pros: Keeps dedicated IP, SSL, and nightly backups in the same plan
- Cons: Still a shared environment despite the larger allowance
- Cons: No isolated compute guarantees are published for this plan tier",Hostwinds Ultimate Shared Hosting | Hostwinds Linux Shared Hosting,"Hostwinds Ultimate Shared Hosting from Hostwinds with Unlimited domains, Unlimited bandwidth, Unlimited disk space. Lowest advertised price 7.14.",high,- Ultimate plan features verified from official Hostwinds shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Small business"",""Agencies""]}"
KnownHost Basic Shared Hosting,knownhost-linux-shared-hosting-basic,KnownHost,3.47,active,true,9096035696879,linux-shared-hosting,https://www.knownhost.com/compare/web-hosting,https://www.knownhost.com,Linux Shared Hosting,"- 1 domain
- 1 CPU core
- 1 GB RAM
- 10 GB cloud storage
- 5 email accounts
- 2 MySQL databases
- 100,000 inodes
- Free SSL and dedicated IPv4
- cPanel, LiteSpeed, NVMe backend, and free migrations","- Basic: $3.47/month advertised price
- KnownHost lists this tier with 1 domain","- Pros: Official page publishes CPU and RAM allocations instead of only marketing copy
- Pros: Includes dedicated IPv4 and free migrations on the entry plan
- Cons: Single-domain allowance
- Cons: Entry-level email, database, and storage limits are modest",KnownHost Basic Shared Hosting | KnownHost Linux Shared Hosting,"KnownHost Basic Shared Hosting from KnownHost with 1 domain, 1 CPU core, 1 GB RAM. Lowest advertised price 3.47.",high,- Plan limits verified from official KnownHost web-hosting comparison page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Individuals"",""Developers""]}"
KnownHost Standard Shared Hosting,knownhost-linux-shared-hosting-standard,KnownHost,6.48,active,true,9096035893487,linux-shared-hosting,https://www.knownhost.com/compare/web-hosting,https://www.knownhost.com,Linux Shared Hosting,"- 5 domains
- 2 CPU cores
- 2 GB RAM
- 25 GB cloud storage
- 25 email accounts
- 5 MySQL databases
- 200,000 inodes
- Free SSL and dedicated IPv4
- cPanel, LiteSpeed, NVMe backend, and free migrations","- Standard: $6.48/month advertised price
- KnownHost lists this tier with 5 domains","- Pros: Adds CPU, RAM, domains, and storage over the Basic tier
- Pros: Still includes cPanel, dedicated IPv4, and migrations
- Cons: Website count is capped at 5
- Cons: Storage remains limited compared with the top plan",KnownHost Standard Shared Hosting | KnownHost Linux Shared Hosting,"KnownHost Standard Shared Hosting from KnownHost with 5 domains, 2 CPU cores, 2 GB RAM. Lowest advertised price 6.48.",high,- Standard plan values verified from official KnownHost comparison page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business"",""Developers""]}"
KnownHost Professional Shared Hosting,knownhost-linux-shared-hosting-professional,KnownHost,9.98,active,true,9096035827951,linux-shared-hosting,https://www.knownhost.com/compare/web-hosting,https://www.knownhost.com,Linux Shared Hosting,"- Unlimited domains
- 4 CPU cores
- 4 GB RAM
- Unlimited cloud storage
- Unlimited email accounts
- Unlimited MySQL databases
- 300,000 inodes
- Free SSL and dedicated IPv4
- cPanel, LiteSpeed, NVMe backend, free migrations, and Patchman","- Professional: $9.98/month advertised price
- KnownHost lists this tier with unlimited domains and Patchman","- Pros: Largest resource allocation among the selected KnownHost shared plans
- Pros: Adds Patchman while keeping cPanel and migration support
- Cons: Highest starting price in the selected KnownHost set
- Cons: Shared hosting still does not provide VPS-style root control",KnownHost Professional Shared Hosting | KnownHost Linux Shared Hosting,"KnownHost Professional Shared Hosting from KnownHost with Unlimited domains, 4 CPU cores, 4 GB RAM. Lowest advertised price 9.98.",high,- Professional plan inclusions verified from official KnownHost comparison page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business"",""Agencies"",""Developers""]}"
Namecheap Stellar Shared Hosting,namecheap-linux-shared-hosting-stellar,Namecheap,1.98,active,true,9096036253935,linux-shared-hosting,https://www.namecheap.com/hosting/shared/,https://www.namecheap.com,Linux Shared Hosting,"- 3 websites
- 20 GB SSD storage
- Unmetered bandwidth
- 30 email mailboxes
- Twice-weekly backups
- Free migration
- Free SSL certificate
- CDN support
- cPanel, SSH access, and LiteSpeed web server","- Stellar: 30-day free trial, then $22.88/year introductory price
- Namecheap also states the plan renews at $48.88/year","- Pros: Official page provides both intro and renewal yearly pricing
- Pros: Includes SSH and cPanel alongside standard shared-hosting features
- Cons: Website count is capped at 3
- Cons: Storage is limited to 20 GB SSD",Namecheap Stellar Shared Hosting | Namecheap Linux Shared Hosting,"Namecheap Stellar Shared Hosting from Namecheap with 3 websites, 20 GB SSD storage, Unmetered bandwidth. Lowest advertised price 1.98.",high,- Stellar plan pricing and inclusions verified from official Namecheap shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""billing_cycle"":[""Annual""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Individuals"",""Small business""]}"
