profile_id,profile_label,category_slug,filter_order,group_label,filter_id,display_label,admin_label,input,searchable_values,namespace,metafield_key,recommended_definition_type,fallback_definition_type,allowed_values,notes
ai-tools,AI Tools,ai-tools,1,Audience & Use Case,primary_use_case,Primary use case,Primary use case,multi_select,TRUE,marketplace,primary_use_case,metaobject_reference_list,single_line_text_field_list,Automation | Analytics & reporting | Content creation | Customer support | Developer workflow | E-commerce operations | Infrastructure & hosting | Security & governance,Keep the vocabulary broad enough that it remains usable across multiple categories.
ai-tools,AI Tools,ai-tools,2,Audience & Use Case,industry_fit,Industry fit,Industry fit,multi_select,FALSE,marketplace,industry_fit,metaobject_reference_list,single_line_text_field_list,General / universal | Healthcare | Finance | Education | Marketing | Retail / e-commerce | Legal / HR | Manufacturing,Keep industry values stable so AI tools and software can share the same vertical facet.
ai-tools,AI Tools,ai-tools,3,Plan & Pricing,pricing_model,Pricing model,Pricing model,multi_select,FALSE,marketplace,pricing_model,metaobject_reference_list,single_line_text_field_list,Free | Freemium | Subscription | Usage-based | One-time purchase | Custom quote,Use controlled options so spelling mistakes cannot create new filter values.
ai-tools,AI Tools,ai-tools,4,Plan & Pricing,price_band,Starting price,Starting price,multi_select,FALSE,marketplace,price_band,metaobject_reference_list,single_line_text_field_list,Free | Under $10/month | $10-$50/month | $51-$200/month | $201-$500/month | Over $500/month,Keep shared price buckets across categories to improve consistency.
ai-tools,AI Tools,ai-tools,5,Plan & Pricing,free_trial,Free trial,Free trial,multi_select,FALSE,marketplace,free_trial,metaobject_reference_list,single_line_text_field_list,No free trial | 7 days | 14 days | 30 days | Custom trial or demo,Use one normalized evaluation field instead of separate trial and free-tier labels.
ai-tools,AI Tools,ai-tools,6,Capability & Deployment,deployment_model,Deployment model,Deployment model,multi_select,FALSE,marketplace,deployment_model,metaobject_reference_list,single_line_text_field_list,Cloud / SaaS | Self-hosted | On-premise | Hybrid | API-first | Edge / on-device,Use one global deployment vocabulary across AI tools and software.
ai-tools,AI Tools,ai-tools,7,Capability & Deployment,ai_model_type,AI model type,AI model type,multi_select,FALSE,marketplace,ai_model_type,metaobject_reference_list,single_line_text_field_list,Generative | Natural language | Computer vision | Predictive analytics | Speech / audio | Hybrid,Keep model family visible to technical buyers without overloading them with implementation detail.
ai-tools,AI Tools,ai-tools,8,Capability & Deployment,customization_level,Customization level,Customization level,multi_select,FALSE,marketplace,customization_level,metaobject_reference_list,single_line_text_field_list,Out of the box | Template-based | Fine-tuning | API / workflow customization | Enterprise services,"Useful for AI products where templates, fine-tuning, and full custom workflows matter."
ai-tools,AI Tools,ai-tools,9,Capability & Deployment,integrations,Integrations,Integrations,multi_select,TRUE,marketplace,integrations,metaobject_reference_list,single_line_text_field_list,API / webhooks | Zapier / Make | Shopify | WordPress / WooCommerce | Google / Microsoft | Slack / collaboration tools,Use a short curated list of ecosystems instead of every possible integration.
ai-tools,AI Tools,ai-tools,10,Security & Compliance,security_compliance,Security & compliance,Security & compliance,multi_select,FALSE,marketplace,security_compliance,metaobject_reference_list,single_line_text_field_list,GDPR | SOC 2 | ISO 27001 | HIPAA | CCPA | SSO / RBAC | Audit logs,Prefer policy-grade signals over low-level feature checklists.
