"product_id","title","assigned_values","assigned_kinds","source_used","changed","classification_reason","url_used","web_search_query"
"9048227676399","MagicPods AI Bundle","","","description","false","No confident collection match found.","","MagicPods AI Bundle magicpodsai"
"9048894505199","WHP - WordPress Hosting","Unlimited Shared Hosting","Unlimited Shared Hosting:name","product URL","true","Unlimited Shared Hosting via name","https://www.webhostingpad.com/15298-11-1-70.html","WHP - WordPress Hosting WebHostingPad Shared Hosting"
"9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065881796847","Midjourney: AI for creating artistic and photorealistic images","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065881862383","Canva AI: Design platform with AI-powered image creation and editing","Graphic Design AI","Graphic Design AI:name","description","true","Graphic Design AI via name","",""
"9065881895151","Stable Diffusion: Open-source AI for generating custom images","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065881960687","Runway ML: AI for image and video editing with generative capabilities","Video Editing AI","Video Editing AI:name","description","true","Video Editing AI via name","",""
"9065881993455","Artbreeder (AI for collaborative art generation)","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882026223","Fotor AI: Photo editing with AI enhancements like background removal","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882058991","NightCafe: AI art generator with multiple style options","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882091759","VanceAI: AI for image upscaling","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882124527","Photopea AI: Browser-based AI-enhanced photo editing","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882157295","DeepArt: AI for turning photos into artistic styles","Computer Vision AI","Computer Vision AI:name","product URL","true","Computer Vision AI via name","https://www.deeparteffects.com","DeepArt: AI for turning photos into artistic styles DeepArt Visual AI"
"9065882190063","Remove.bg: AI for automatic background removal","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882222831","ClipDrop: AI for image manipulation and object extraction","Object Detection AI","Object Detection AI:name","description","true","Object Detection AI via name","",""
"9065882255599","Luminar AI: Photo editing with AI-driven enhancements","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882288367","DreamStudio: AI image generator powered by Stable Diffusion","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882321135","Topaz Gigapixel AI: AI for image upscaling and detail enhancement","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882353903","Let's Enhance: AI for improving image resolution and quality","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882386671","Pixelcut: AI for e-commerce product image editing","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882419439","Crello AI: AI-powered graphic design for social media and marketing","Graphic Design AI","Graphic Design AI:name","description","true","Graphic Design AI via name","",""
